GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
calculadora,co.edu.javeriana.ingsoft.solid.refactor.logica.dto,RespuestaDTO,3,0,0,0,1,0,1,0,1,0
calculadora,co.edu.javeriana.ingsoft.solid.refactor.logica.dto,EntradaDTO,155,0,30,0,4,0,26,0,11,0
calculadora,co.edu.javeriana.ingsoft.solid.refactor.main,App,10,0,0,0,4,0,2,0,2,0
calculadora,co.edu.javeriana.ingsoft.solid.refactor.logica.creacion,CreadorOperacion,73,0,0,0,13,0,3,0,3,0
calculadora,co.edu.javeriana.ingsoft.solid.refactor.logica.creacion,CreadorDinamico,39,0,0,0,17,0,2,0,2,0
calculadora,co.edu.javeriana.ingsoft.solid.refactor.logica.creacion,CreadorBase,3,0,0,0,1,0,1,0,1,0
calculadora,co.edu.javeriana.ingsoft.solid.old,Calculadora,89,0,8,0,31,0,9,0,3,0
calculadora,co.edu.javeriana.ingsoft.solid.refactor.logica.operaciones,OperacionResta,15,0,0,0,3,0,3,0,3,0
calculadora,co.edu.javeriana.ingsoft.solid.refactor.logica.operaciones,OperacionDivision,17,0,0,0,4,0,3,0,3,0
calculadora,co.edu.javeriana.ingsoft.solid.refactor.logica.operaciones,OperacionPotencia,17,0,0,0,3,0,3,0,3,0
calculadora,co.edu.javeriana.ingsoft.solid.refactor.logica.operaciones,OperacionModulo,15,0,0,0,3,0,3,0,3,0
calculadora,co.edu.javeriana.ingsoft.solid.refactor.logica.operaciones,OperacionConcatenar,32,0,0,0,7,0,3,0,3,0
calculadora,co.edu.javeriana.ingsoft.solid.refactor.logica.operaciones,OperacionSuma,15,0,0,0,3,0,3,0,3,0
calculadora,co.edu.javeriana.ingsoft.solid.refactor.logica.operaciones,OperacionMultiplicacion,15,0,0,0,3,0,3,0,3,0
calculadora,co.edu.javeriana.ingsoft.solid.refactor.logica.operaciones,OperacionFactorial,42,0,8,0,10,0,6,0,2,0
calculadora,co.edu.javeriana.ingsoft.solid.refactor.view,MenuCalculadora,111,0,7,0,32,0,7,0,3,0
calculadora,co.edu.javeriana.ingsoft.solid.refactor.logica,Calculadora,20,0,0,0,5,0,2,0,2,0
